< Measurement Data Text Output >,,,,,,,,,
,,,,,,,,,
Date/Time,@date(),ch.1,ch.2,ch.3,ch.4,ch.5,ch.6,ch.7,ch.8
,,°C,°C,,,,,,
05/15/2020 01:20'00,43966.05556,15.1,19.1,,,,,,
05/15/2020 01:40'00,43966.06944,15,19,,,,,,
05/15/2020 02:00'00,43966.08333,14.7,18.9,,,,,,
05/15/2020 02:20'00,43966.09722,14.7,18.8,,,,,,
05/15/2020 02:40'00,43966.11111,14.7,18.8,,,,,,
05/15/2020 03:00'00,43966.125,14.7,18.7,,,,,,
05/15/2020 03:20'00,43966.13889,14.3,18.6,,,,,,
05/15/2020 03:40'00,43966.15278,14.3,18.5,,,,,,
05/15/2020 04:00'00,43966.16667,14.4,18.5,,,,,,
05/15/2020 04:20'00,43966.18056,14.2,18.5,,,,,,
05/15/2020 04:40'00,43966.19444,14.1,18.4,,,,,,
05/15/2020 05:00'00,43966.20833,14,18.3,,,,,,
05/15/2020 05:20'00,43966.22222,14.7,18.2,,,,,,
05/15/2020 05:40'00,43966.23611,16.6,18.2,,,,,,
05/15/2020 06:00'00,43966.25,18.7,18.3,,,,,,
05/15/2020 06:20'00,43966.26389,21.5,18.5,,,,,,
05/15/2020 06:40'00,43966.27778,24.7,18.7,,,,,,
05/15/2020 07:00'00,43966.29167,23,19.1,,,,,,
05/15/2020 07:20'00,43966.30556,22.2,19.2,,,,,,
05/15/2020 07:40'00,43966.31944,22.7,19.3,,,,,,
05/15/2020 08:00'00,43966.33333,22.6,19.5,,,,,,
05/15/2020 08:20'00,43966.34722,26.1,19.7,,,,,,
05/15/2020 08:40'00,43966.36111,28.7,20.1,,,,,,
05/15/2020 09:00'00,43966.375,29,20.4,,,,,,
05/15/2020 09:20'00,43966.38889,28.7,20.7,,,,,,
05/15/2020 09:40'00,43966.40278,29.4,21,,,,,,
05/15/2020 10:00'00,43966.41667,34,21.4,,,,,,
05/15/2020 10:20'00,43966.43056,31.8,21.7,,,,,,
05/15/2020 10:40'00,43966.44444,30.2,21.9,,,,,,
05/15/2020 11:00'00,43966.45833,28.8,21.9,,,,,,
05/15/2020 11:20'00,43966.47222,28.5,22,,,,,,
05/15/2020 11:40'00,43966.48611,28.5,22,,,,,,
05/15/2020 12:00'00,43966.5,28.7,22.1,,,,,,
05/15/2020 12:20'00,43966.51389,28.1,22.2,,,,,,
05/15/2020 12:40'00,43966.52778,26.7,22.3,,,,,,
05/15/2020 13:00'00,43966.54167,25.4,22.3,,,,,,
05/15/2020 13:20'00,43966.55556,26.8,22.3,,,,,,
05/15/2020 13:40'00,43966.56944,28.4,22.4,,,,,,
05/15/2020 14:00'00,43966.58333,27.3,22.4,,,,,,
