date,disease,T20_mean,ST_mean,T60_mean,H_mean,T20_min,ST_min,T60_min,H_min,T20_max,ST_max,T60_max,H_max,housa
2018-06-27,0,28.18888888888889,26.60972222222221,27.15625,91.56527777777771,23.6,24.4,23.8,73.3,38.4,28.4,34.1,100.0,1.7730715850752747
2018-06-28,0,28.99236111111113,27.23402777777777,28.11944444444445,89.58263888888891,24.1,25.9,24.4,66.4,40.2,29.5,37.2,100.0,2.2952118780339097
2018-06-29,0,28.83819444444445,27.42708333333333,28.071527777777767,90.87430555555555,24.7,26.2,25.1,75.9,37.7,28.9,33.9,100.0,2.0059441949922805
2018-06-30,0,28.985416666666666,27.70486111111111,27.939583333333346,95.24722222222216,25.2,26.6,25.5,71.1,38.3,29.1,37.0,100.0,1.0380341918302474
2018-07-01,0,30.10625000000001,28.25694444444445,29.33819444444445,88.23263888888886,24.9,26.8,25.4,69.9,40.9,30.3,36.6,100.0,2.7502760836473343
2018-07-02,0,29.594444444444427,27.985416666666683,27.93541666666666,94.63125,24.3,26.6,24.7,80.9,39.7,29.5,33.0,100.0,1.1723282317760315
2018-07-03,0,29.556944444444426,27.95347222222223,27.27152777777779,94.10902777777771,24.0,26.7,16.6,73.9,38.8,29.5,34.2,100.0,1.2453523958152573
2018-07-04,0,27.21805555555556,27.30694444444446,26.72986111111112,96.72222222222223,24.5,26.4,24.7,86.8,32.7,27.9,29.8,100.0,0.674771554218178
2018-07-05,0,25.97291666666667,26.311805555555548,25.739583333333343,98.80416666666667,24.5,26.0,24.6,94.2,28.3,26.7,27.4,100.0,0.234455635897813
2018-07-06,0,26.27847222222221,26.05625000000002,25.82777777777777,99.2375,24.0,25.3,23.0,92.4,30.3,27.9,28.5,100.0,0.15014908679563518
2018-07-07,0,27.349305555555574,26.80972222222222,26.50763888888893,97.3201388888889,24.8,24.6,24.4,75.7,33.1,31.5,31.9,100.0,0.5456920660221781
2018-07-08,0,29.211111111111112,27.58819444444445,28.429861111111112,74.56319444444446,23.7,26.1,24.3,43.7,38.0,29.9,35.6,100.0,5.68953128079085
2018-07-09,0,29.70625,27.77708333333332,27.963194444444433,76.25763888888885,22.6,25.5,22.9,46.4,43.3,30.2,35.0,98.2,5.191433384319669
